Startup,URL,Business Description,Funding Stage,Total funding (US$),Opportunity Space,Maturity,Founded,Location,City,Global,Client Served,Business Line
Shenzhen HYSIRY Technology,http://www.hysiry.com,IoT enabled solutions for multi-industry applications,Series A,,Smart Cities,Nascent,2016,China,Shenzhen,Global,End consumers,Smart Building Management
Senior Technology Material,http://www.senior798.com,Manufacturer of lithium battery separator,Funded,,x,Nascent,2003,China,Shenzhen,Global,Manufacturers,Battery manufacturing
R F Arrays Systems,http://www.rfarrays.com,Smart grid network based on Zigbee,Funded,,Smart Energy,Nascent,2004,India,Nagpur,Global,Utilities ,Smart Grids
Addionics,https://www.addionics.com,Provider of 3D architecture rechargeable batteries,Series A,"3,500,000",Energy Efficiency,Nascent,2017,Israel,Tel Aviv-Yafo,Global,Commercial and Industrial (C&I) ,Battery optimising 
Fujian Chuangxin Technology Developmen,http://www.fjcxtech.com,Manufacturer and reseller of lithium battery electrolyte additives,Funded,,x,Nascent,2001,China,,Global,Commercial and Industrial (C&I) ,Battery manufacturing
SEMCORP,http://www.semcorpglobal.com,Manufacturer and supplier of lithium-ion battery separators,Funded,,x,Nascent,2017,China,Shanghai,Global,Commercial and Industrial (C&I) ,Battery manufacturing
Risecomm Microelectronics,https://risecomm.com.cn,Power Line Communication (PLC) System-on-Chip (SoC),Funded,,Smart Energy,Nascent,2006,China,Shenzhen,Global,Utilities ,Smart Grids
Yitran Technologies,http://www.yitran.com,Powerline Communication (PLC) Modems and ICs,Funded,,Energy Analytics,Nascent,1996,Israel,Omer,Global,Commercial and Industrial (C&I) ,Energy Analytics
Otti Electronic Control,http://www.aodicn.com,Developer of battery management system for the automobile industry,Funded,,x,Nascent,2010,China,Hangzhou,Global,Manufacturers,Battery manufacturing
EVRE,https://www.evre.io,Provider of EV charging infrastructure solutions,Funded,,x,Nascent,2019,India,Bangalore,Global,Utilities ,EV Charging
SCOOTA,https://www.scoota.asia,App-based electric kick scooter rental platform,Seed,"5,689,560",x,Nascent,2016,Thailand,Bangkok,Global,End consumers,E Mobility
Full Power Future,http://www.mandian-future.com,Developer of electric vehicle battery swapping network,Seed,,x,Nascent,2018,China,Minhang,Global,End consumers,EV Charging
Equator Energy,https://www.equatorenergy.net,Solar installation and net metering solutions provider,Funded,,x,Nascent,2007,Kenya,Nairobi,African,Commercial and Industrial (C&I) ,Solar EPC
Sys3E Technologies,https://www.sys3e.com,Developer of solar PV tracking systems,Funded,,x,Nascent,2016,India,Pune,Global,Real Estate Developers ,Solar power generation
Scud,http://www.scudgroup.com/zh,Manufacturer of lithium-ion power banks and mobile accesories,Public,,x,Mature,1997,China,Fuzhou,Global,Manufacturers,Battery manufacturing
Wasion Group,http://www.wasion.cn,Smart metering devices manufacturer,Public,,Energy Analytics,Mature,1998,China,Changsha,Global,Manufacturers,Energy Analytics
Tinymesh,https://tinymesh.com/,Provider of mesh wireless network solution for IoT,Funded,,Energy Efficiency,Nascent,2011,India,Mohali,Global,Utilities ,Smart Meters
GridComm,http://www.gridcomm-plc.com,Power line communication solutions,Seed,"555,291",Energy Analytics,Nascent,2012,Singapore,Singapore,Global,City councils ,IOT Devices
NSOFT,https://www.nsoft.in,AMI and software solutions for billing and energy management to utilities service providers,Seed,"1,713,078",Energy Efficiency,Nascent,1996,India,Bangalore,Global,Utilities ,Smart Meters
Mission: Electric,https://www.mission-electric.in,Developer electric mobility services & charging infrastructure,Series B,"323,400,278",x,Nascent,2017,India,Bangalore,Global,Manufacturers,E Mobility
Antü Energía,https://antuenergia.cl/,Manufacturer of energy backup equipment & EV charging solutions,Funded,,x,Nascent,2017,Chile,Santiago,Global,End consumers,EV Fleet Orchestration
APsystems,http://www.altenergy-power.com,"Provider of power electronics for commercial, industrial, and residential solar power plants",Funded,,x,Nascent,2009,China,Shanghai,Global,Real Estate Developers ,Solar EPC
Inti-Tech,https://www.inti-tech.com,Provider of an autonomous device for cleaning solar panels,Seed,"1,800,000",Renewables Transition,Nascent,2016,Chile,Santiago,Global,Utilities ,Solar panel maintenance
Clobotics,https://www.clobotics.com,Provides drone flight and data management solutions,Series A,"58,000,000",Renewables Transition,Nascent,2016,China,Shanghai,Global,Utilities ,Wind power maintenance
IgrenEnergi Technologies,http://www.igrenenergi.com,Energy optimizer to harvest energy for solar and energy storage products,Seed,"1,000,000",Energy Efficiency,Nascent,2013,India,Bangalore,Global,Utilities ,Battery optimising 
Guangzhou Haote Energy Saving and Environmental Protection Technology,http://www.motsun.com,Integrated application solution provider for energy effiiciency,Funded,,Energy Analytics,Nascent,2006,China,Guangzhou,Global,Real Estate Developers ,Energy Analytics
Arago Electric,https://www.aragoelectric.in,Developer of electric drives & power electronics,Funded,,x,Nascent,2018,India,Pune,Global,Manufacturers,EV components
ME SOLshare,https://www.me-solshare.com,Provider of microgrid networks for solar home systems integrations,Series A,"1,660,000",Smart Energy,Nascent,2015,Bangladesh,Dhaka,Global,Utilities ,Smart Grids
VFlow Tech,http://www.vflowtech.com,Provider of vanadium based energy storage systems,Funded,,x,Nascent,2018,Singapore,Singapore,Global,Manufacturers,Battery manufacturing
Volt14,https://volt14.com,Manufacturer of anodes for lithium-ion batteries,Seed,"955,524",x,Nascent,2018,China,Kowloon,Global,Manufacturers,Battery manufacturing
Lytyfy,https://lytyfy.org/,P2P social crowdfunding platform,Seed,,Renewables Transition,Nascent,2015,India,Mumbai,Global,End consumers,Energy Financing
Solaset,http://www.solaset.com,P2P loans for solar systems in Africa,Funded,,Renewables Transition,Nascent,2016,Ghana,Accra,African,End consumers,Energy Financing
Girasol,https://www.redgirasol.com,Solar crowdfunding platform,Funded,,Renewables Transition,Nascent,2016,Mexico,Monterrey,Global,End consumers,Energy Financing
WenuWork,https://wenuwork.cl,Energy management solution provider,Funded,,Energy Analytics,Nascent,2016,Chile,Santiago,Global,Utilities ,Energy Analytics
eSunScope,http://esunscope.com,"Solar installation, monitoring, and maintenance solution provider",Funded,,x,Nascent,2018,United Arab Emirates,"Dubai, Jaipur",Global,End consumers,Solar EPC
Promethean Energy,https://www.prometheanenergy.com,Waste heat recovery products for industrial purposes,Seed,"485,443",Energy Analytics,Nascent,2014,India,Mumbai,Global,Real Estate Developers ,Energy Analytics
BESC,https://www.besc.online,Blockchain-based renewable energy investment platform,Funded,,Smart Energy,Nascent,2018,Malaysia,Kuala Lumpur,Global,End consumers,Blockchain
Cens Materials,https://censmaterialsltd.co.il/,Technology solutions provider for lithium-ion batteries,Funded,,Energy Efficiency,Nascent,2013,Israel,Beersheba,Global,Manufacturers,Battery optimising 
Nano New Energy,http://www.newnagy.com/index.html,Offers nanotechnology production development for energy storage,Funded,,Renewables Transition,Nascent,2011,China,Tangshan,Global,Manufacturers,Energy Capture
CEAD,https://www.c-electricdrives.com,Electric powertrain for LEVs,Funded,,x,Nascent,2018,India,Kochi,Global,Manufacturers,E Mobility
Exicom Tele-Systems,https://www.exicom-ps.com,Manufacturer of power & energy solutions,Series B,"9,677,100",Renewables Transition,Emerging,1994,India,Gurgaon,Global,Manufacturers,Energy storage 
Calamus,https://www.calamusbikes.com,Developer of smart electric bicycles,Funded,,x,Nascent,2019,India,Mumbai,Global,End consumers,E Mobility
Ozone Motors,https://ozonemotors.in/,Developer of electric vehicle & telematics technologies,Funded,,x,Nascent,2016,India,Chennai,Global,End consumers,Smart vehicles platform
Elicius,https://eliciusenergy.com/,Technology solutions provider for hydrogen fuel cells,Seed,,Energy Efficiency,Nascent,2018,India,Chennai,Global,Commercial and Industrial (C&I) ,Battery optimising 
LogFuze,https://www.logfuze.com,Cloud based machine data analytics platform,Seed,"250,000",Data Analytics,Nascent,2013,India,Chennai,Global,Manufacturers,Data Analytics
SOFC,http://www.sofc.com.cn,Solid oxide based fuel technology solutions provider,Funded,,x,Nascent,2006,China,Ningbo,Global,Commercial and Industrial (C&I) ,Battery manufacturing
Boreton Technology,http://www.breton.top,Developer of heavy-duty electric trucks,Funded,,x,Nascent,2016,China,Shanghai,Global,Commercial and Industrial (C&I) ,EV for industrial use
Mahindra Teqo,https://www.mahindrateqo.com,Renewable energy asset management solutions provider,Funded,,x,Nascent,2013,India,Thane,Global,Utilities ,Solar EPC
HEKR,https://www.hekr.me,Cloud based energy management solutions provider,Funded,,Smart Cities,Nascent,2014,China,Hangzhou,Global,Real Estate Developers ,Smart Building Management
Upnepa,https://www.upnepa.ng,Information platform for electricity power status,Seed,"20,000",Energy Efficiency,Nascent,2017,Nigeria,Lagos,African,End consumers,Energy Efficiency
INFYPOWER,https://www.infypower.com,Manufacturer of e-vehicle charging modules,Funded,,x,Nascent,2014,China,Shenzhen,Global,End consumers,EV Charging
Bigpot,http://www.bigpot.ng,Blockchain based intelligent monitoring system provider for electricicty,Seed,"25,000",Smart Energy,Nascent,2017,Nigeria,Lagos,African,End consumers,Blockchain for energy financing 
Sheru,https://www.sheru.se,App-based platform to book e-rickshaw,Funded,,x,Nascent,2019,India,Delhi,Global,End consumers,E Mobility
Resolzpower,http://www.resolzpower.com,Solar-powered EV and charging equipment provider,Funded,,x,Nascent,2018,India,Howrah,Global,Manufacturers,Battery manufacturing
Batt:RE,http://www.battre.in,Manufacturer of multi-category two-wheeler,Seed,,x,Nascent,2017,India,Jaipur,Global,End consumers,E Mobility
NIO,https://www.nio.com,Developer of smart electric cars,Public,"1,100,000,000",x,Emerging,2014,China,Shanghai,Global,End consumers,E Mobility
Yiqi,https://www.huandianwang.com,Developer and operator of e-vehicle charging stations,Series B,,x,Nascent,2015,China,Suzhou,Global,Utilities ,EV Charging
Blu Smart,https://blu-smart.com/,App-based electric-ride hailing platform,Seed,"3,128,290",x,Nascent,2019,India,Ahmadabad,Global,End consumers,E Mobility
Tork Motors,https://www.torkmotors.com,Manufacturer of smart motorcycles,Series A,"4,196,295",x,Nascent,2016,India,Pune,Global,End consumers,E Mobility
Dayback,https://dayback.com.br/,Energy management solution provider,Seed,"53,933",Energy Analytics,Nascent,2015,Brazil,Florianopolis,Global,Real Estate Developers ,Energy Analytics
Electrify,https://www.electrify.asia,Elecrticity marketplace on blockchain,Seed,,x,Nascent,2017,Singapore,Singapore,Global,End consumers,Energy Trading
Mingyang Smart Energy Group,http://www.myse.com.cn,Provider of smart wind energy generation and management solutions,Funded,,Renewables Transition,Nascent,2006,China,Zhongshan,Global,Utilities ,Wind power maintenance
Bordrin,https://www.bordrin.com,Manufacturer of electric cars,Series C,"361,974,000",x,Emerging,2015,China,Nanjing,Global,End consumers,E Mobility
ElectReon,https://www.electreon.com,Developer of wireless charging technology,Funded,,Smart Energy,Nascent,2013,Israel,Tel Aviv-Yafo,Global,City councils ,Electric Roads
Sistema,https://sistema.bio/,Biodigester provider to produce biogas from organic waste,Series A,"12,000,000",Renewables Transition,Emerging,2009,Kenya,Nairobi,African,Small and Medium Enterprises (SMEs) ,Biogas
Blive,https://www.blive.co.in,Electric bike tour operator,Seed,"706,690",x,Nascent,2018,India,Panaji,Global,End consumers,E Mobility
Infiction Labs,https://www.infictionlabs.com,Developer of robotic solution to clear solar panels,Funded,,Renewables Transition,Nascent,2014,India,Bangalore,Global,Utilities ,Solar panel maintenance
Beijing Chehe Home Information Technology,https://www.lixiang.com,Manufacturer of electric cars,Series C,"1,025,728,971",x,Mature,2000,China,Beijing,Global,End consumers,E Mobility
PURE,https://www.pureev.in,Manufacturer of E-two wheelers vehicles,Seed,"35,000,000",x,Nascent,2016,India,Hyderabad,Global,End consumers,E Mobility
BAIC Motor,http://www.baicmotor.com,Car manufacturer,Public,,x,Mature,2010,China,Beijing,Global,End consumers,E Mobility
Jiangxi Special Motor,http://www.jiangte.com.cn,Manufacturer and supplier of special motors and lithium batteries,Public,,x,Mature,1999,China,Yichun,Global,Manufacturers,Battery manufacturing
Make My Day,https://www.makemydayapp.com,Location-based app to determine optimal route for multiple errands,Funded,,x,Nascent,2015,Israel,Hertzeliya,Global,End consumers,EV Fleet Orchestration
Xdy,http://www.xdy.com,Manufacturer of electric vehicles & components,Funded,,x,Nascent,2000,China,Hangzhou,Global,End consumers,E Mobility
SinoHytec,http://www.sinohytec.com,Manufacturer of hydrogen fuel cell and power controller products,Funded,,x,Nascent,2004,China,Haidian,Global,Manufacturers,Battery manufacturing
Climate Connect,https://www.climate-connect.com,"AI enabled platform for power, gas and emissions market",Series A,"1,200,000",Energy Analytics,Emerging,2010,India,Delhi,Global,Utilities ,Energy Analytics
Beijing Weilan New Energy Technology,http://www.solidstatelion.com,Developer of solid-state lithium batteries,Funded,,x,Nascent,2016,China,Beijing,Global,Manufacturers,Battery manufacturing
Zero Energy Solutions,https://www.zero.energy,Building energy management systems,Seed,"110,000",Smart Cities,Nascent,2015,Israel,Petah Tikva,Global,Real Estate Developers ,Smart Building Management
Cubi Energy,https://www.cubienergia.com,Disaggregate energy consuming appliances,Funded,,Energy Analytics,Nascent,2016,Brazil,Sao Paulo,Global,Commercial and Industrial (C&I) ,Energy Analytics
Viridis Energy Solutions,https://viridis.energy/en,Provider of energy management solutions,Funded,,Energy Efficiency,Nascent,2015,Brazil,Nova Lima,Global,Utilities ,Energy Efficiency
PowerPlug,https://powerplugltd.com/,IT solutions for PC Power Management,Funded,,Energy Efficiency,Nascent,2009,Israel,Tel Aviv-Yafo,Global,End consumers,Energy Efficiency
aQysta,https://www.aqysta.com,Hydro powered irrigation pumps for farmers in Nepal,Funded,,Renewables Transition,Nascent,2013,Nepal,Kathmandu,Global,Small and Medium Enterprises (SMEs) ,Hydro Generation
Meolink,http://www.meolink.com,Provider of energy management solutions,Seed,"334,027",Smart Cities,Nascent,2011,Morocco,Casablanca,African,Commercial and Industrial (C&I) ,Smart Building Management
CYC MOTOR,https://www.cycmotor.com,Developer of smart bicycle electrification kits,Seed,"360,000",x,Nascent,2018,China,Sha Tin,Global,End consumers,E Mobility
Supreme Power Solutions,https://www.spscap.com,Ultracapacitor and supercapacitor based energy storage systems manufacturer,Funded,,x,Nascent,2002,China,Beijing,Global,Manufacturers,EV for commercial use
Canopy Power,https://www.canopypower.com,Microgrid project developer,Series A,,Energy Efficiency,Nascent,2016,Singapore,Singapore,Global,Utilities ,Energy Efficiency
SunCulture,http://www.sunculture.com,Develops and offers solar powered smart irrigation systems,Series A,"150,000",Renewables Transition,Nascent,2012,Kenya,Nairobi,African,Small and Medium Enterprises (SMEs) ,Solar productive use
Intelizon Energy,https://www.intelizon.com,Consumer solar powered lighting products,Seed,,x,Nascent,2007,India,Hyderabad,Global,End consumers,Battery manufacturing
ENOVATE,https://www.enovatemotors.com,Developer of luxury & smart electric cars,Series A,"969,426,000",x,Nascent,2018,China,Shanghai,Global,Manufacturers,E Mobility
ETRAN,http://etrangroup.com/,Electrcic motorcycle manufacturer,Funded,,x,Nascent,2017,Thailand,Sathon,Global,End consumers,E Mobility
Devergy,https://devergy.com/,Solar powered micro grids,Seed,,x,Nascent,2010,United Republic of Tanzania,Dar Es Salaam,African,Small and Medium Enterprises (SMEs) ,Micro Grids 
Fonrich,http://www.fonrich.com,Solar power plant developer,Series A,"10,000,000",x,Nascent,2011,China,Shanghai,Global,Manufacturers,Solar panel manufacturer 
KeeUI Solar,https://keeui.com/,Provider of a digital platform that connects solar installers to customers,Seed,,Improved UX,Nascent,2017,Mexico,Benito Juarez,Global,Small and Medium Enterprises (SMEs) ,Energy Purchasing
Nimray Solar,https://www.nimray.com,Rooftop solar project installer for residential energy consumers,Funded,,Renewables Transition,Nascent,2017,India,Gurgaon,Global,End consumers,Solar productive use
Flexwave,https://flexwave.com.tw/,Transparent and flexible solar modules for BIPV and IoT applications,Seed,,Energy analytics,Nascent,2014,Taiwan,Zhubei,Global,Commercial and Industrial (C&I) ,Solar power analytics
Nocca Robotics,https://noccarobotics.com,Developer of robots for solar panel cleaning solutions,Seed,"1,724,100",Renewables Transition,Nascent,2017,India,Mumbai,Global,Utilities ,Solar panel maintenance
Etymol Ocean Power,http://www.etymol.com,Pressure differential WEC placed stationary and submerged in deep water,Seed,"514,000",x,Nascent,2011,Chile,Santiago,Global,Utilities ,Wave energy convertor 
Aquanet Power,https://www.aquanetpower.com,"Developer of WEC that are used in deep, shallow and off shore applications",Series A,"5,000,000",x,Nascent,2014,Taiwan,Taipei,Global,Utilities ,Wave energy convertor 
Pentalum,http://www.pentalum.com,Offers wind remote monitoring system,Acquired,"23,000,000",Renewables Transition,Mature,2009,Israel,Rehovot,Global,Manufacturers,Wind power optimisation
SunMan,http://www.sunman-energy.com,Developer of flexible PV modules,Funded,,x,Nascent,2015,China,Hong Kong,Global,Real Estate Developers ,Solar panel manufacturer 
GS-Solar,http://www.gs-solar.com,Manufactures monocrystalline and CIGS thin film solar cells and modules,Funded,,x,Nascent,2008,China,Quanzhou,Global,Manufacturers,Solar panel manufacturer 
Astronergy,http://www.astronergy.com,Manufacturer of thin film PV modules,Series B,"50,000,000",x,Emerging,2006,China,Hangzhou,Global,Real Estate Developers ,Solar panel manufacturer 
Traverse,https://www.traverse.ai,Platform provider for IRR simulations in the renewable energy sector,Seed,"150,000",Renewables Transition,Nascent,2016,Singapore,Singapore,Global,Commercial and Industrial (C&I) ,Wind power optimisation
Solar Labs,https://thesolarlabs.com/,Technology enabler for better roof mapping,Funded,,Energy analytics,Nascent,2017,India,Mandi,Global,Commercial and Industrial (C&I) ,Solar power analytics
Doorsatha Analytics,http://www.doorastha.com,Provides analytics solution for renewable energy systems,Funded,,Smart Energy,Nascent,2017,India,Delhi,Global,Utilities ,Grid Optimisation
NavSemi Energy,http://navsemi.com,Develops energy maximiser solutions and power management units,Acquired,"200,000",x,Mature,2008,Costa Rica,San Jose,Global,End consumers,Solar power generation
Raycatch,https://www.raycatch.com,Solar data analytics solution developer,Series B,"7,300,000",Energy analytics,Nascent,2015,Israel,Tel Aviv-Yafo,Global,Utilities ,Solar power analytics
MADA Analytics,https://www.madaanalytics.com,Saas-based solution provider for capitalizing energy storage in renewable energy projects,Seed,,Renewables Transition,Nascent,2017,Israel,Jerusalem,Global,Financial institutions ,Energy storage 
Sun Electric,https://sunelectric.com.sg/,Solar energy retailer based in Singapore,Acquired,,x,Emerging,2013,Singapore,Singapore,Global,End consumers,Solar EPC
Rural Spark,https://www.ruralspark.com,Developer of smart grid solutions for rural India,Funded,,x,Nascent,2011,India,Delhi,Global,End consumers,Micro Grids 
Enercred,http://www.enercred.com.br,Provides a platform which enables exchange of power in the grid,Funded,,Improved UX,Nascent,2016,Brazil,Itajuba,Global,End consumers,Energy Purchasing
WisQo,https://www.wisqo.com,Developer of NB-IoT and LoRa based hub and connected switch for home automation applications,Funded,,Energy Analytics,Nascent,2014,Singapore,Singapore,Global,Commercial and Industrial (C&I) ,IOT Devices
Lionrock batteries,https://lionrockbatteries.com/,Manufacturer of solid lithium batteries,Funded,,x,Nascent,2017,China,Hong Kong,Global,Manufacturers,Battery manufacturing
UtopiaTech,https://utopiatech.in/,IoT based street light monitoring and controlling solution provider,Funded,,Energy Analytics,Nascent,2017,India,Mumbai,Global,City councils ,IOT Devices
Bhorzvan Motors,https://bhorzvan.com/,Developer of components for EV applications,Seed,"50,000",x,Nascent,2017,India,Pune,Global,Manufacturers,EV components
Laureti Motors,https://www.lauretimotors.com,Makers of high-performance electric cars,Funded,,x,Nascent,2018,India,Bangalore,Global,End consumers,E Mobility
PMI Electro Mobility Solutions,https://fotonpmi.com,Electric bus manufacturer,Seed,"2,114,560",x,Nascent,2015,India,Rewari,Global,End consumers,EV for commercial use
PayGo Energy,https://www.paygoenergy.co,Software platform for pay-as-you-go gas distribution activities,Seed,"5,080,000",Renewables Transition,Nascent,2014,Kenya,Nairobi,African,Retailers,Energy Financing
Muvo,https://muvo.bike/?lang=en,On-demand bicycle rental app,Seed,"2,000,000",x,Nascent,2016,Colombia,Bogota,Global,End consumers,EV share
Great Power Energy &Technology,http://www.greatpower.net,Manufacturer of lithium batteries and energy storage systems,Series A,,x,Emerging,2001,China,Guangzhou,Global,Manufacturers,Battery manufacturing
Dongguan Kingsun Optoelectronic,https://www.kingsunlights.com,LED lighting products manufacturer,Public,,Renewables Transition,Emerging,2011,China,Dongguan,Global,City councils ,Solar-powered device
Earth Energy,http://www.earthenergy-ev.com,Developer of smart electric motorcycles,Funded,,x,Nascent,2017,India,Mumbai,Global,End consumers,E Mobility
oneCHARGE,https://www.onechar.ge,Developer of electric vehicle charging infrastructure & equipment,Funded,,x,Nascent,2017,China,Hong Kong,Global,Commercial and Industrial (C&I) ,EV Charging
Bright Innovations,https://www.brightinnovationsco.com,Energy efficient smart city street lighting technology provider,Seed,"1,026,560",Data Collection,Nascent,2009,Israel,Haifa,Global,City councils ,Connectivity
GEEC,https://geec.tn/,Provider of installation services for energy efficient upgrades,Funded,,Energy Efficiency,Nascent,2012,Tunisia,Tunis,African,Commercial and Industrial (C&I) ,Energy Efficiency
Sunwoda Electronic,https://www.sunwoda.com,Manufacturer of lithium battery modules,Public,,x,Mature,1997,China,Shenzhen,Global,Manufacturers,Battery manufacturing
En-Trak,https://www.en-trak.com,Software solution provider for energy management,Seed,,Smart Cities,Nascent,2013,China,Hong Kong,Global,Commercial and Industrial (C&I) ,Smart Building Management
Solva Technologies,https://solvatechnologies.com/,Electric two-wheeler manufacturer,Funded,,x,Nascent,2017,United Arab Emirates,Abu Dhabi,Global,Commercial and Industrial (C&I) ,EV for commercial use
Super SOCO,http://www.supersoco.com/second-phase/en/index.php,Electric two-wheeler manufacturing company,Series A,,x,Nascent,2015,Taiwan,Kaohsiung City,Global,End consumers,E Mobility
Sumeru Verde,http://www.sumeruverde.com,Smart meters and Meter data management systems,Funded,,Energy Efficiency,Nascent,2012,India,Noida,Global,Utilities ,Smart Meters
Ather Energy,https://www.atherenergy.com,Smart electric scooters for India,Series B,"111,302,130",x,Nascent,2013,India,Bangalore,Global,End consumers,E Mobility
SensorFlow,https://www.sensorflow.co,Developer of energy management & room automation systems,Series A,"11,800,000",Energy Analytics,Nascent,2016,Singapore,Singapore,Global,Real Estate Developers ,Energy Analytics
Lithion Power,http://www.lithionpower.com,Battery swapping network for electric bikes,Seed,"616,512",x,Nascent,2016,India,Delhi,Global,Manufacturers,EV components
EV Motors India,https://www.ev-motors.com,Developer of electric vehicle charging infrastructure,Seed,"1,293,003",x,Nascent,2016,India,Delhi,Global,Commercial and Industrial (C&I) ,EV Charging
Greenvolt Mobility,https://greenvoltmobility.com/,Developer of electric vehicles,Funded,,x,Nascent,2016,India,Ahmedabad,Global,End consumers,E Mobility
Integrated Electronic Systems Lab,https://www.ieslab.com.cn,"Software solutions for smart cities, smart grids, and utility management",Public,,Smart Energy,Mature,1984,China,Jinan,Global,Utilities ,Smart Grids
GegaDyne,https://www.gegadyne.com,High capacity graphene and super capacitor based batteries developer,Seed,"200,358",x,Nascent,2015,India,Mumbai,Global,Manufacturers,Battery manufacturing
Ayasta,http://www.ayasta.com,IoT enabled platform for predictive maintenance of electrical grids,Seed,"30,000",Smart Energy,Nascent,2017,India,Hyderabad,Global,Commercial and Industrial (C&I) ,Grid Monitoring
Phylion Battery,http://www.phylion.com,Manufacturer of lithium batteries and battery management systems,Series A,,x,Emerging,2003,China,Suzhou,Global,Manufacturers,Battery manufacturing
WeSmart Group,https://wesmart.com/,Energy management solutions for buildings,Seed,,Energy Analytics,Nascent,2015,China,Shanghai,Global,Commercial and Industrial (C&I) ,Energy Analytics
Walnutt,https://www.walnutt.com,Electric skateboard developer,Seed,"1,444,000",x,Nascent,2015,China,Hong Kong,Global,End consumers,E Mobility
SINA Mobility,http://www.sinamobility.com,Developer of self-balancing electric motorcycles,Funded,,x,Nascent,2017,India,Bangalore,Global,End consumers,E Mobility
XING Mobility,https://www.xingmobility.com,Developer of components for electric vehicles,Funded,,x,Nascent,2015,Taiwan,Taipei,Global,Manufacturers,EV components
Pand Auto,https://www.pand-auto.com/web/,Electric car sharing company,Series A,"2,366,290",x,Nascent,2015,China,Chongqing,Global,End consumers,EV share
Ampotech,https://www.ampotech.com,Energy monitoring software using sensors on circuit breakers,Seed,"725,000",Energy Analytics,Nascent,2015,Singapore,Singapore,Global,Real Estate Developers ,Energy Analytics
Neuron Mobility,https://www.neuron.sg,App-based platform for rental of electric kick-scooters,Series A,"23,500,000",x,Nascent,2016,Singapore,Singapore,Global,End consumers,E Mobility
Ati Motors,https://www.atimotors.com,Developer of autonomous electric cargo vehicles,Seed,"1,077,520",x,Nascent,2017,India,Bangalore,Global,Commercial and Industrial (C&I) ,Autonomous vehicles
Haber,http://www.haberwater.com,IoT-enabled industrial automation platform for industrial applications,Series A,,Data Analytics,Nascent,2015,India,Pune,Global,Commercial and Industrial (C&I) ,Data Analytics
Tdcm,https://www.tdcm-motor.com,Developer of electric motors,Series A,"8,000,000",x,Emerging,1995,Taiwan,Taoyuan City,Global,Manufacturers,EV components
Dox,https://dox.tech/,Provides machine learning based battery management platform,Funded,,Energy Efficiency,Nascent,2016,Lebanon,Beirut,Global,Small and Medium Enterprises (SMEs) ,Battery optimising 
LightSpeed Bikes,https://lightspeed.bike/,Developer of electric bicycles,Funded,,x,Nascent,2016,India,Ahmadabad,Global,End consumers,E Mobility
Futuriztic,http://futuriztic.com/,Home automation and energy intelligence solution,Funded,,Smart Cities,Nascent,2016,India,Ahmadabad,Global,Commercial and Industrial (C&I) ,Smart Building Automation Systems 
Mahindra Electric,https://www.mahindraelectric.com,Electric cars and commercial vans,Funded,,x,Nascent,1994,India,Bangalore,Global,End consumers,E Mobility
Oakter,https://www.oakter.com,Plug and play smart home automation solution,Seed,"567,265",Smart Cities,Nascent,2014,India,Noida,Global,Commercial and Industrial (C&I) ,Smart Building Automation Systems 
EcoWorth Tech,https://www.ecoworth-tech.com,Advanced material for managing organic wastes in multiple industrial applications,Seed,"738,708",x,Nascent,2016,Singapore,Singapore,Global,Commercial and Industrial (C&I) ,Clean Water
Balancell,http://www.balancell.com,Battery Management Solution developers,Funded,,x,Nascent,2013,South Africa,Cape Town,African,Manufacturers,Battery manufacturing
EverComm,http://www.evercomm.com.sg,Sensor and big data analytics enabled energy management system,Funded,,Energy Analytics,Nascent,2013,Singapore,Singapore,Global,Commercial and Industrial (C&I) ,Energy Analytics
Emflux Motors,http://www.emfluxmotors.com,Electric motorcycle developer,Seed,"511,284",x,Nascent,2016,India,Bangalore,Global,End consumers,E Mobility
Doohan,http://www.doohan-ev.com,Manufacturer of electric trikes,Seed,"62,002,000",x,Nascent,2014,China,Hangzhou,Global,End consumers,E Mobility
Ambi Labs,https://www.ambiclimate.com/en/,Hardware and software to control household appliances,Funded,,Smart Cities,Nascent,2012,China,Hong Kong,Global,End consumers,Smart Home
Ahoy systems,http://www.ahoysys.com,ATM E-surveillance and IoT solutions,Seed,"117,993",Energy Analytics,Nascent,2014,India,Gurgaon,Global,Commercial and Industrial (C&I) ,IOT Devices
Lightapp,https://www.lightapp.com,Industrial energy intelligence system,Funded,,Energy Analytics,Nascent,2011,Israel,Herzliya,Global,Commercial and Industrial (C&I) ,Energy Analytics
BBP,https://bbp.sg/,Provider of HVAC management systems,Series B,"32,764,200",Energy Analytics,Nascent,2012,Singapore,Singapore,Global,Commercial and Industrial (C&I) ,Energy monitoring systems for buildings 
Volta Motors,http://www.voltamotors.in,Developer of electric bicycles,Acquired,"100,000",x,Emerging,2015,India,Chennai,Global,End consumers,E Mobility
Phinergy,http://www.phinergy.com,Metal-air battery technology for EVs,Series B,"50,000,000",Renewables Transition,Emerging,2008,Israel,Lod,Global,Utilities ,Energy storage 
Brightmerge,https://www.brightmerge.com,Microgrid as a service,Funded,,x,Nascent,2015,South Africa,Johannesburg,African,End consumers,Micro Grids 
Sensibo,https://sensibo.com/,Smart home climate system,Seed,"2,600,000",Energy Efficiency,Nascent,2013,Israel,Tel Aviv-Yafo,Global,End consumers,HVAC
