Startup,URL,Super Cluster Number,Super Clusters,Absolute FINAL sub-cluster,Clusters,Service/Product Description,Country,Founded,Funding Stage,Latest Funding Date,Total Funding (USD),Latest Funding (USD)
RavenPack,https://www.ravenpack.com/,3,De/manage-risk,9,Portfolio research & trading Analytics tools & algorithms,"RavenPack leverages text analytics to covert unstructured news into structured data for systematic trading and investment, risk management and market surveillance. They offer big data solutions in the form of applications to financial services firms (quantitative trading and retail broking), hedge funds, banks and investment managers. The analytics product suite assists clients with asset management, market making, research, risk and compliance management and content-analytics for media use-cases.",USA,2003,Series A,2019,15000000,10000000
StreetContxt,https://streetcontxt.com/,3,De/manage-risk,9,Portfolio research & trading Analytics tools & algorithms,"Street Contxt is an information marketplace built for global Capital Markets. Their platform insights are contextual to each user. They assist sell side content producers - including sales, trading, desk analysts, research analysts, banking, and ECM - to distribute and track engagement in their desk commentary, research reports and news updates. Street Contxt integrates with CRM programs and produces reporting that delivers actionable insights enabling sell side firms to be engaged in the health check of their desk, client engagement, commission allocation and business continuity. They also work with buy side - Hedge Funds, Pension Funds, and Institutional Asset Managers, assisting them in tailored discovery of new and relevant content in real time.
",Canada,2012,Series B,2017,15000000,7000000
ThoughtRiver,https://thoughtriver.com,4,Automation/de-cost biz,13,"Streamline Workflows, documents, basic business processes, due dill, client onboarding etc","Thoughtriver is a legal contract automation solution which uses NLP to analyse and review legal agreements for internal contract review and compliance using artificial intelligence and risk profiling. It can identify potentially problematic clauses in contracts. By using predictive and behavioural analytics, machine trained text mining and data visualisation it enables companies to understand and transform the quality of legal deals - for speeding decision making, and providing better information on which to make decisions. It suggests better legal language or explains the problem, as the case requires. The company is run as a joint venture with leading technology law firm Taylor Vinters LLP. The company operates from offices in Cambridge, London and Singapore.","London, England, United Kingdom",2013,Early Stage Venture,2020,15000000,10000000
Competix,http://www.competix.com,4,Automation/de-cost biz,11,"Trade STP, automating trade processes e-2-e","Competix.com delivers superior automated lending solutions to lenders nationwide. The company's Internet lending solution called Credit Manager is a turn-key credit-decisioning service based on proven, state-of-the-art lending technology developed by a $1 billion international information technology firm and one of the largest banks in North America. This same technology that's used by banks, financial organizations and lending institutions throughout the country is now available as an affordable service offered to community banks as a cost-effective alternative to traditional large-scale lending software and expensive hardware systems. Credit Manager harnesses the power of the Internet to fully automate the entire lending process from application, to credit decision, to booking in an online, real-time environment. The service supports a wide range of personal and small business loan products, including installment loans, revolving credit lines, credit cards, overdraft protection, mortgages, home equity loans and indirect lending.","Burlingame, California, United States",1998,Venture - Series Unknown,2000,15000000,15000000
Spark Systems,http://www.sparksystems.sg/,2,Liquidity,6,"FI, FX & EQ marketplaces","Spark Systems is an exciting new Fin-Tech startup funded by industry veterans, we are the first high tech solution provider for institutional forex trading that is originated in Asia. We aim to build world class FX trading platform to serve a growing Asia financial hub. As early member of the firm you will be involved from the very beginning of building something truly special, and will be duly rewarded with a fast-track career.","Singapore, Central Region, Singapore",2016,Series B,2020,15491291,10508433
Jacobi,https://www.jacobistrategies.com/site/,4,Automation/de-cost biz,13,"Streamline Workflows, documents, basic business processes, due dill, client onboarding etc","Jacobi Strategies provides a SaaS platform that is used to help in portfolio creation. Features include portfolio design, portfolio modeling and scenario testing, cash flow analysis. Used by Asset managers, asset owners, and wealth managers.",USA,2014,Series A,2019,15600000,7680000
Droit,https://droit.tech/,1,Regulation,1,Meeting Regulatory Requirements,"Droit provides solutions for dealing with the new market structure and regulatory requirements affecting the derivatives market. It provides pre-trade and post-trade compliance solution to investors and offers Adept platform which provides regulatory compliance solution for the OTC derivatives market. For pre-trade it will analyze details of the proposed trade and implement G20 rules and for post-trade, it checks for compliance with relevant rules and generates escalation messages for any issues.",USA,2012,Series A,2016,16000000,16000000
Spotware,https://www.spotware.com/,4,Automation/de-cost biz,12,"IT & Data Management, services to reduce IT costs and complexity","Spotware Systems (previously known as cTrader) is a financial technology company that develops trading platforms for onlineForeign exchange market and CFD brokers, banks, and traders. Spotware is known for its trading platforms cTrader, cMirror and cAlgo. The financial technology Spotware develops is focused on electronic-forex ECNs and offers integrated Platform as a service (PaaS) solutions. ",Cyprus,2010,Series A,2010,16000000,16000000
BondLink,https://www.bondlink.com/,1,Regulation,1,Meeting Regulatory Requirements,"BondLink is an investor relations and disclosure platform for municipal bond issuers, facilitating regulatory compliance and communication with investors. Its clients are government and non-profit companies.",USA,2015,Series A,2020,16100000,4000000
Artivest Holdings,https://artivest.co/,2,Liquidity,4,"Unlisted equities, P/E, VC","Artivest offers a digital platform for private investment managers and investors. The platform connect a wider audience of suitable investors with investment opportunities in top-quality private equity and hedge funds that are typically available only at institutional minimum investment sizes.  Key Artivest features for qualified investors include more accessible investment minimums, online access to intuitive displays of fund metrics and electronic completion of all legal documentation. Funds utilize Artivest technology to manage investor relations and client operations at scale. FINRA member registered Broker Dealer.",USA,2012,Acquired,2012,17000000,15000000
QRaft,https://www.qraftec.com/,4,Automation/de-cost biz,12,"IT & Data Management, services to reduce IT costs and complexity","Qraft offers AI-based practice management solutions for asset managers. It provides tools for robo advisors, pair trading, trade execution, risk management, insurance, management of operational risks, an ETF operating system, and deep learning solutions to assist in organising and integrating client data.",South Korea,2016,Series A,2019,17000000,9800000
Metaco,https://metaco.com,4,Automation/de-cost biz,12,"IT & Data Management, services to reduce IT costs and complexity","Established in 2014, Metaco has rapidly become an expert in helping banks and financial institutions, including national banks, capitalise on the latest blockchain technologies and systems. It has developed specialist, high-grade cryptographic solutions that can be fully integrated into a bankâ€™s core processes. The firm is also a leading provider of highly secure custody solutions for crypto assets. Its proprietary offering has continued to differentiate Metaco in the blockchain sector and position the firm at the forefront of the market.","Lausanne, Vaud, Switzerland",2014,Early Stage Venture,2020,17010000,17000000
FunderBeam,https://www.funderbeam.com/,2,Liquidity,4,"Unlisted equities, P/E, VC","Funderbeam  is a startup & investor research platform. Mines the data from various public and private sources, including CrunchBase. Plans to launch syndication platform and aftermarket for startup investments that will be secured by the blockchain. Subscription based business model.  Providing tools to research, fund and trade in private companies, the bigger vision is to build something akin to a “stock exchange” for startups based on blockchain technology. To make that vision a reality, Funderbeam has raised $2.6 million in further funding.",England,2013,Series A,2019,17100000,12500000
AccessFintech,https://www.accessfintech.com/,1,Regulation,1,Meeting Regulatory Requirements,"Access Fintech operates the Global Exceptions Network for exception resolution and risk management. It aggregates data from bespoke internal systems, vendors, outsourcers & organization reports. Allows end users to determine priority & understand associated risk. Provides control functions to adjust prioritization based on market condition changes that enable managers to oversee & determine bottlenecks and intervention points.",USA,2016,Series A,2018,17500000,17500000
CloudMargin,https://cloudmargin.com/,1,Regulation,1,Meeting Regulatory Requirements,"Cloud Margin provides a cloud-based collateral and risk management technology platform that caters to buy-side and non-bank institutions such as corporates, hedge funds, insurers, pension funds, and asset managers. With CloudMargin, end-users of OTC derivatives can manage increasing margin call volumes, cope with the Dodd-Frank and EMIR push to CCP and build a secure, controlled, efficient and cost effective collateral management operation",England,2013,Series B,2018,17500000,10400000
Sharespost,https://sharespost.com/,2,Liquidity,4,"Unlisted equities, P/E, VC","SharesPost offers an online platform that links investors with late-stage venture-backed companies and shareholders. The company focuses on managing secondary liquidity and raising primary capital. Additionally, it offers data feed and third-party research services. ",USA,2009,Series C,2018,18000000,15000000
Securrency,https://securrency.com/,2,Liquidity,3,"Alternative Debt, Securisation, Loans, Alternative Financing","Securrency provides “Securitization as a Service” through a platform to unlock latent asset value by converting income-earning potential tied to individual assets into highly-liquid exchangeable financial instruments. They further claim that their capability combines the investment-grade characteristics of a security (stability and yield) with the everyday utility of a currency (liquidity, transferability, and exchangeability).",USA,2015,Series A,2020,18300000,17600000
Prometheum,https://www.prometheum.com/,4,Automation/de-cost biz,11,"Trade STP, automating trade processes e-2-e","Prometheum is the SEC and FINRA regulated market infrastructure that leverages the blockchain for issuance, trading, clearing, settlement and custody.","New York, New York, United States",2017,Venture - Series Unknown,2019,18500000,6500000
Firm58,http://www.firm58.com,4,Automation/de-cost biz,12,"IT & Data Management, services to reduce IT costs and complexity","Firm58 is a trading firm that offers web-based financial management and back office automation solutions. The company aims to help capital markets increase revenue and operational efficiency. The Firm58 trade operations platform helps manage billing, payments, compensation, positions, and client commission agreements across asset classes, including equities, futures, options, foreign exchange, and fixed income. The platform automates complex processes to offer a view of daily profitability. Customers include global market exchanges, institutional brokerages, clearing and non-clearing brokers and dealers, and proprietary trading firms. Firm58 was founded in 2005 and is based in Illinois.",USA,2005,M&A,2010,19200000,7000000
CASPIAN,https://caspian.tech,4,Automation/de-cost biz,11,"Trade STP, automating trade processes e-2-e","Caspian is a complete asset management solution that covers the lifecycle of the trade. It includes a fully developed OEMS, PMS, and RMS. It provides a single interface into all major crypto exchanges, a complete suite of sophisticated trading algorithms, real-time and historical P&L and exposure tracking and professional customer service.","San Francisco, California, United States",2017,ICO,2018,19500000,19500000
ComplySci,https://www.complysci.com/,1,Regulation,2,Identify the Client (AML/KYC),"Compliance Science is a New York City based global leader in providing web-based regulatory compliance technology and services to the Financial Services community. Compliance Science, Inc. (CSI) provides Governance, Risk Management and Compliance solutions, market validated by over 600 financial and professional services firms. The platform is designed to meet the needs of Private Equity firms, Hedge Funds, Investment Banks, Broker-Dealers, Registered Investment Advisors and Professional Services firms. Clients include 8 of the top 10 Private Equity firms, 3 of the top 5 Hedge Funds and 3 of the Big 4 Accounting Firms.",USA,2003,Series A,2018,19500000,10000000
Nivaura,https://www.nivaura.com/,4,Automation/de-cost biz,11,"Trade STP, automating trade processes e-2-e","Nivaura's process automation platform products enable execution and lifecycle management of decentralized smart financial assets. It uses the blockchain to automate everything from documentation to distribution, clearing settlement and servicing. It provides solutions such as transaction management, instrument management, user management, and document structuring.",England,2015,Series A,2019,20000000,20000000
SteelEye,https://www.steel-eye.com/,1,Regulation,1,Meeting Regulatory Requirements,"Steel eye: We bring together all your financial and regulatory data under one lens to enable you to effortlessly meet your compliance needs - because when all your data is in one place, you can manage multiple obligations easily and cost-effectively. Our comprehensive RegTech suite interacts natively with this data to give you value back from your compliance. ",England,2017,Series A,2020,20000000,10000000
iControl,http://www.icontroldata.net/,4,Automation/de-cost biz,12,"IT & Data Management, services to reduce IT costs and complexity","Over 50,000 retail stores and 4,000 distributors use iControl to automate data synchronization, consolidate and facilitate transmission and verification of financial transactions, automate the reconciliation of billing errors, and evaluate and forecast performance.","Bethesda, Maryland, United States",2004,Venture - Series Unknown,2015,20000000,20000000
Cobase,https://www.cobase.com/,4,Automation/de-cost biz,13,"Streamline Workflows, documents, basic business processes, due dill, client onboarding etc","Cobase's multibank platform is a single point of access to all bank accounts and other financial products and services from many banks and financial service providers. The main features of the platform are a central payment hub, cash management, and treasury modules. The combination of this functionality with many bank connections in one place offers tremendous financial and operational efficiency, especially for medium and large size companies. Users and authorization schemes can be centrally managed for all subsidiaries or departments and only one security token is needed for each user.","Amsterdam, Noord-Holland, The Netherlands",2016,Series A,2020,20122565,11367020
Tookitaki,https://www.tookitaki.ai/,1,Regulation,2,Identify the Client (AML/KYC),"Tookitaki provides AI-enabled AML & compliance management solutions. It offers an Anti-Money Laundering Suite to prevent/combat money laundering, Reconciliation Suite for an AI-enabled matching & substantiation solution for reconciliation, and more. It also prevents false alerts by monitoring and screening programs.",Singapore,2014,Series A,2019,20400000,11700000
Proxymity,https://proxymity.io/,3,De/manage-risk,7,"Fraud detection, Position Traceability & gen Cyber security","Proximity offers client communication solutions for asset managers, investors, and issuers. It provides tools to connect investors and issuers for making investment decisions, risk assessment, and to automate voting processes.",England,2018,Series B,2018,20500000,20500000
Perseus,http://www.perseus.co,4,Automation/de-cost biz,12,"IT & Data Management, services to reduce IT costs and complexity","Perseus is a leading managed services provider of high-speed global networks, colocation and trading technologies. The Perseus international customer base includes top-tier market makers, banks, exchanges and Fortune 500 companies. Perseus provides many of the worldâ€™s fastest, private and precise market-to-market routes between Chicago, New York, London, Frankfurt, SÃ£o Paulo, Mexico City, Tokyo, Singapore, and Johannesburg. The company was awarded the 2014 & 2015 Markets Choice Award as Most Innovative New Product, the Global Telecom Business Innovation Award in 2014, 2013, and 2012, was recognized on the FinTech 50 Watchlist in 2012 and 2013 and was recognised in the 2014 Inc. 500 list of fastest growing private companies.","New York, New York, United States",2009,Venture - Series Unknown,2015,20500000,20500000
Fidel,https://fidel.uk,5,Consumer,15,"Consumer Banking & Personal Finance, Consumer data","Fidel surfaces the transactional data needed through a single API to build without the burden of complex integrations, cost, or compliance. Fidel aims to democratize access to consumer financial data, globally.  They are working to build a world where power and control of data shifts back to its creator - the consumer. Fidel makes transactional data accessible through a single access point so businesses can create web and mobile applications using real-time payment data. By linking customer payment cards to reward programs, businesses like British Airways, Perkbox and Royal Bank of Canada are turning payments into loyalty.  Fidel is backed by the U.Kâ€™s Technology Strategy Board (Innovate U.K.) and Horizons Ventures.","London, England, United Kingdom",2013,Series A,2019,20630000,18000000
86 400,https://www.86400.com.au/,5,Consumer,15,"Consumer Banking & Personal Finance, Consumer data","86 400 is a Australian first smartbank. One that steps up, does the right thing by its customers and puts them first.","Sydney, New South Wales, Australia",2017,Series A,2020,21193400,21193400
Continuity Control,http://www.continuity.net,1,Regulation,1,Meeting Regulatory Requirements,"Continuity is a leading provider of Regulatory Technology (RegTech) solutions that automate compliance management for financial institutions of all sizes. By combining regulatory expertise and cloud technology, Continuity provides a proven way to reduce regulatory burden and mitigate compliance risk at a fraction of the cost. Our solutions are designed to automate all aspects of compliance management, from interpretation of regulatory issuances through intuitive task delegation, vendor management, and board reporting. Continuity serves hundreds of institutions across the US and its territories. Continuity is a Compliance Management System for community banks and credit unions. Engineered to reduce the time, cost and risk impacts of regulation, this unified system automates the entire regulatory lifecycle â€” managing regulatory updates, policies, procedures, risks, vendors, audits, business continuity, exam preparation, compliance strategy, and planning.","New Haven, Connecticut, United States",2008,Debt Financing,2016,21492907,5000000
Eventus Systems,https://www.eventussystems.com/,1,Regulation,2,Identify the Client (AML/KYC),"Eventus provides risk alerting, reporting and monitoring (ARM) platform to the institutional investors. Their product, Validus is an enterprise run-time based platform that uses multi-stream reconciliation to provide alert, report, analytic and monitoring capabilities horizontally across a trading organization giving users a holistic view of risk.  Their advanced run-time reporting and analytics platform provides a centralized view of trading, operations, surveillance, compliance and risk management.",USA,2015,Series A,2020,22100000,10500000
Tradewind Markets,http://tradewindmarkets.com,2,Liquidity,5,Digital & Tokenized Assets,"Tradewind Markets offers a technology platform for digitizing the trading, settlement, and ownership of precious metals. Its platform leverages Blockchain and electronic exchange technology to streamline custody, trade execution, settlement, and the maintenance of supply chain information that enable market participants to securely and efficiently trade and settle physical precious metals on an OTC, inter-dealer basis.",USA,2016,Venture - Series Unknown,2020,22499979,2899997
Midaxo,https://www.midaxo.com/,2,Liquidity,5,Digital & Tokenized Assets,"Midaxo offers a cloud-based platform to companies to manage their M&A processes. The solutions include deal sourcing, valuation, due diligence, and integration. It caters to buy-side clients and has won several awards from M&A industry publications such as Acquisition international, M&A Today, and ACQ5.",USA,2011,Series B,2018,23000000,16000000
Moneytree,https://www.moneytreehq.com,5,Consumer,15,"Consumer Banking & Personal Finance, Consumer data","Moneytree is a fintech data platform, with a mission to bring people and institutions closer together, help them find balance and discover new opportunities to grow personal wealth. Moneytree's first product, a personal finance app for iOS released in 2013, won the App Storeâ€™s â€œBest ofâ€ award for iPhone in Japan after only 8 months in market. It went on to win Best of 2014 for iPad, was one of 10 Apple Watch apps featured pre-launch and a featured iMessage app on the launch of iOS 10. Moneytree has over 1,300,000 users on iOS, Android and web. Our proprietary data aggregation platform, Moneytree LINK, has almost twenty enterprise clients, including Japanâ€™s two largest accounting software vendors, an industry first inbound API with Mizuho Bank, an SDK integration SMBC (Mitsui Sumitomo) and multiple regional banks in Japan.","Tokyo, Tokyo, Japan",2012,Series C,2020,23633468,8806595
Open Invest,https://www.openinvest.co/,5,Consumer,15,"Consumer Banking & Personal Finance, Consumer data","OpenInvest is a Public Benefit Corporation and asset manager that uses technology to mainstream customized ethical investing. OpenInvest is a YCombinator and Andreessen Horowitz-backed startup powering the post-fund future. Their team of senior technologists from the hedge fund industry and civil society leaders is first tackling under-served markets in customized ESG asset management. With seed funding, the team has built fully integrated and proprietary direct-indexing construction, management, trading, proxy voting, and UX systems that now serve thousands of customers. Founded in 2015, the company is headquartered in San Francisco, California, United States.","San Francisco, California, United States",2015,Series A,2020,24270000,10500000
Twisto,http://www.twistopay.com,5,Consumer,15,"Consumer Banking & Personal Finance, Consumer data","Twisto has over 600k users and 100k app and card clients across the Czech Republic and Poland. The business is the daily payments app of choice for its users, providing buy-now, pay later capabilities, including fully flexible instalment financing. Twisto offers users a seamless point-of-sale experience with merchants, delivers one-click bill and invoice payments, offers the best FX rates, travel insurance and a comprehensive PFM in one app. A primary Mastercard issuer and is directly integrated into ApplePay","Prague, Hlavni mesto Praha, Czech Republic",2013,Series B,2019,24362249,15705473
Zero Hash,https://www.zerohash.com/,2,Liquidity,5,Digital & Tokenized Assets,Zero Hash is a digital asset exchange. It offers an institutional digital asset exchange for spot trading and offers a separate market for CFTC-regulated derivatives overlaying digital assets. Also offers multiple fiats to crypto trading pairs and allows trading for spot and derivative contracts.,USA,2015,Series B,2020,24900000,3750000
BidFX,https://www.bidfx.com,2,Liquidity,6,"FI, FX & EQ marketplaces","BidFX is a cloud-based provider of electronic foreign exchange trading solutions for the global financial marketplace. BidFX clients have access to broker-neutral order and execution management services, which delivers them customised liquidity in all Foreign Exchange products from their banks and other providers. BidFX provides firms with a cutting-edge workflow solution ensuring Best Execution while encompassing a complete suite of negotiation protocols and tools.","London, England, United Kingdom",2017,Venture - Series Unknown,2019,25000000,25000000
MiFund,http://mifund.com.au,5,Consumer,15,"Consumer Banking & Personal Finance, Consumer data","Mutual fund manufacturers and distributors now have the opportunity to increase market share with an efficient and cost-effective platform. MiFund is continually adding to the funds it offers on its system and has currently assembled 15 fund companies with more than 360 different funds. MiFund's multi-currency, multi-lingual platform can be utilised as a whole or in modules providing the following services:  -- Information and Reporting -- fund research and selection tools, portfolio management charting capabilities, financial and market news, market quotes and currency rates  -- Transactions -- mutual fund trade, bulk and order execution, account record keeping and reconciliation (including desktop access to account information for financial institutions and advisors)  -- Mutual Fund Marketplace -- access to trailer fees and a customisable selection of funds to create your own mutual fund marketplace  -- Clearing and Settlement Services -- using client's own agent or MiFund's agent  -- Sales Management -- sales ranking reports, assets under management reports, accounting and profitability management reports  MiFund corporate headquarters is located in San Francisco, California, USA. The European business development and implementation office is in Paris, France. MiFund's operations and client services centre is located in Dublin, Ireland.","San Francisco, California, United States",2015,Series B,2001,25000000,25000000
BehavioSec,https://www.behaviosec.com/,3,De/manage-risk,7,"Fraud detection, Position Traceability & gen Cyber security","BehavioSec provides solutions for risk-based authentication of end users of both IT organizations and online services over the web, mobile, and desktops. The solution creates digital fingerprint from user behavior and identifies unauthorized users by detecting anomalies in keyboard/mouse or environment behavior to prevent fraud, information theft and stopping intrusions. Technology is based on patented continuous authentication verification technology which employs machine learning over data collected by supersensitive modern devices.",USA,2008,Series B,2018,25100000,17500000
Global Liquid Markets,https://www.glmx.com/,3,De/manage-risk,9,Portfolio research & trading Analytics tools & algorithms,"GLMX offers Meridian Trading Platform which is designed for institutional investors and fund managers. It has a browser-based interface and claims to be transparent, anonymous, secure and efficient because of its proprietary technology. It also claims to be operationally efficient resulting in cost savings.",USA,2010,Series B,2018,25300000,20000000
VoxSmart,https://www.voxsmart.com/,1,Regulation,1,Meeting Regulatory Requirements,"VoxSmart develops the solution VSmart which is a proprietary and patented mobile technology developed to capture, record, store, transcribe and analyze all your mobile calls, messages and voicemail using one platform. The solution is handset agnostic and mobile network independent and used to achieve regulatory and internal compliance. The solution helps companies adhere to mandatory global regulatory regimes such as FCA COBS 11.8, MiFID II Article 16 and Dodd-Frank Title VII.",England,2006,Series B,2020,25300000,6510000
Second Measure,https://secondmeasure.com/,3,De/manage-risk,9,Portfolio research & trading Analytics tools & algorithms,"Second Measure is a technology company that analyzes billions of anonymized purchases to help some of the worldâ€™s largest brands and investment firms answer real-time questions on company performance and consumer behavior. Weâ€™re based in the Bay Area with an office in New York, and are proudly backed by Bessemer Venture Partners, Goldman Sachs, Citi Ventures, Jefferies Investment Group, Y Combinator, and other top investors.","San Mateo, California, United States",2015,Early Stage Venture,2019,25400000,20000000
Halo Investing,https://haloinvesting.com/,2,Liquidity,3,"Alternative Debt, Securisation, Loans, Alternative Financing","Halo is an online investment platform for structured notes. It is a combination of stocks and bonds. Investors can invest with a minimum of $1000. Feature tools for monitoring, analyzing, strategy optimization, and alerts.",USA,2015,Series B,2015,25900000,12000000
Corlytics,http://corlytics.com,3,De/manage-risk,8,"Optimization of trade, collateral mgmt & general risk mgmt","Corlytics is the world leader in regulatory risk intelligence. Positive regulatory outcomes are of enormous benefit to regulators, regulated firms and their clients. Corlytics uniquely analyses enforcement data and other important regulatory information. This helps all stakeholders achieve better regulatory planning and execution, by providing evidence-based intelligence. We do this by providing a unique multidisciplinary team of legal analysts, risk professionals and data scientists. Our intelligence is used by regulators, financial institutions and their advisors on a global basis. Working in partnership with regulators and eminent financial institutions globally. We will enable a more transparent and stable financial system through greater regulatory compliance. By delivering world-class regulatory risk data and analytics, we empower our partners to make transformational, informed, positive choices. Corlytics operates as a trusted strategic partner to banks and financial institutions globally. Set up in 2013, the Corlytics team has understood from the beginning that to restore trust and build transparency in global finance system, intelligence needs to be developed for multiple players. Data needs to be understood by different departments within financial houses. The lawyers in compliance and the mathematicians in risk. The market and the regulators need the same view.","Dublin, Dublin, Ireland",2013,Venture - Series Unknown,2020,26686816,11062999
Ascent,http://www.ascentregtech.com/,1,Regulation,1,Meeting Regulatory Requirements,"Ascent provides a cloud-based platform that helps financial services firms to keep their businesses compliant. Its platform analyzes business activities, informs about potential compliance obligations, and assists in tracking and complying with relevant requirements. Ascent's cloud-based solutions include issue tracking and management, industry reference and research materials, and compliance manual documentation..","Chicago, Illinois, United States",2015,Early Stage Venture,2019,26745000,19300000
T-REX Group,https://www.trexgroup.com/,3,De/manage-risk,8,"Optimization of trade, collateral mgmt & general risk mgmt","T-REX is a financial services software technology company that specialize in valuation, risk analysis, and structuring tools to unlock investment opportunities for various asset classes especially solar. T-REX’s secure, enterprise SaaS-based analytics, risk, and portfolio management platform standardizes and provides transparency to the complex structured products evaluation process, increasing liquidity and creating significant investment opportunities for the hundreds of billions of dollars of capital to increase standardization, provide efficiency, prioritize transparency and enhance compliance, all while lowering costs for our customers, which include a global set of investors, bankers, and finance professionals.",USA,2012,Series B,2019,27200000,15000000
Kantox,https://www.kantox.com/en/,2,Liquidity,6,"FI, FX & EQ marketplaces","Kantox is a P2P foreign exchange provider for SMEs and mid-cap companies. It charges between 0.09% to 0.29% as transaction fee. It provides live mid-market exchange rates updated in real-time, customised FX rate alerts, a fully automated transaction information dashboard, multi-user and multi-subsidiary control panel, and on-demand FX reports. It has over 1,500 clients across 50 countries trading in over 35 currencies and has so far facilitated exchange of over $1.4B worth of currencies. ",England,2011,Series B,2019,27300000,5650000
FinCompare,https://fincompare.de/,2,Liquidity,3,"Alternative Debt, Securisation, Loans, Alternative Financing","FinCompare is a fintech startup that helps businesses to find, compare, and close the financing solutions for businesses. Via the online platform, companies can access a wide range of financing options. They can independently compare offers from well-known banks, fintech, and alternative financial services providers in Germany and close the financing.  The company also offers a convenient one-stop destination for all financing questions relating to the company.  FinCompare financing solutions including corporate loan, factoring, company leasing/hire purchase, warehouse financing, fine trading/purchase financing, and mezzanine capital. It simplifies the financing process with its digital application process and can thus provide your company financing. The company allows SMEs to receive and compare various offers for loans. FinCompare was founded in October 2016 and is headquartered in Berlin, Germany.","Berlin, Berlin, Germany",2016,Series A,2020,27984992,13467121
Baton Systems,https://www.batonsystems.com/,1,Regulation,1,Meeting Regulatory Requirements,Baton offers patented customized clearing and settlement solution for all asset classes and currencies to its merchants. Act as a gateway between bank ledgers and merchants for real-time reconciliation using industry protocols. Claims to keep current processes and systems intact and offer both in-house and cloud-based solutions. Can build custom workplaces for merchants using API's. It was founded as Ubixi in 2016.,USA,2016,Series A,2020,28300000,16300000
Axesor,http://www.axesor.es,3,De/manage-risk,8,"Optimization of trade, collateral mgmt & general risk mgmt","Axesor Marketing Intelligence is a company providing ratings, risk management systems, and business, financial and marketing knowledge.","Granada, Andalucia, Spain",1996,Venture - Series Unknown,2000,29217900,29217900
DefenseStorm,https://www.defensestorm.com/,3,De/manage-risk,8,"Optimization of trade, collateral mgmt & general risk mgmt","DefenseStorm is a network security company that provides a cloud-based cybersecurity management platform. Its platform offers a bank, management oversight, and reporting, smart threat response, security expert, big data, and community intelligence solutions. The company combines and automates in real-time cybersecurity and cyber compliance built for banking, so financial institutions can achieve cyber safety and soundness according to regulations and their own policies Edgardo Nazario, Harold Brewer, Jeffrey Lunsford, and Sean Cassidy founded Praesidio on May 1, 2014, that became DefenseStorm in June 2016. It has its headquarters in Seattle in Washington.",USA,2014,Early Stage Venture,2019,29249999,15000000
MPOWER Financing,http://www.mpowerfinancing.com/,5,Consumer,15,"Consumer Banking & Personal Finance, Consumer data","MPOWER is a US-based lender offering student loans to international students studying in the US or Canada without requiring a co-signer, collateral, or US credit history because our proprietary credit algorithm focuses on future potential. Loans are 10-year, fixed-rate, and range between $2,001 and $50,000. MPOWER disburses payments directly to the university on behalf of the students to pay for tuition or university-sponsored services like housing, meal plans, or health insurance. Students start paying back the loan within 6 months after graduation. The loan comes with interest discounts, free personal finance education courses, credit-building, and a job placement service for the students.","Washington, District of Columbia, United States",2014,Venture - Series Unknown,2020,29500000,9000000
Symbiont,https://www.symbiont.io/,4,Automation/de-cost biz,13,"Streamline Workflows, documents, basic business processes, due dill, client onboarding etc","Symbiont provides a smart contract platform. It allows financial institutions and businesses to automate business processes on a decentralized network using smart contracts. It offers solutions for mortgage, loans, private equity and crowdfunding, debt, asset digitalization, etc.",USA,2013,Series B,2019,29800000,21500000
Zanbato,https://www.zanbato.com/,2,Liquidity,4,"Unlisted equities, P/E, VC","Zanbato offers a platform that facilitates private placement workflows and connectivity in private securities markets. The company's private-label platforms are used by Broker-Dealers, Fund Managers, Private Wealth Managers, and Co-Investment Networks to manage the distribution and placement of private offerings to their clients, who include large institutional allocators such as Sovereign Wealth Funds, Foundation/Endowments, and Pensions, as well as Family Offices and High Net Worth Individuals.",USA,2010,Series B,2020,31700000,14500000
Cloud Lending Solutions,http://www.cloudlendinginc.com,4,Automation/de-cost biz,12,"IT & Data Management, services to reduce IT costs and complexity","Cloud Lending Solutions is a cloud-based, end-to-end lending and leasing platform delivering innovation to the global lending community. Cloud Lending Solutions digitizes origination, underwriting, servicing and collections, creating a single system of record for your lending operations. Unlike legacy technology platforms that are expensive to maintain and prevent agile response to market conditions, Cloud Lending Solutionsâ€™ clients take back control of their business by quickly implementing, extending, and digitizing the entire lending lifecycle. Cloud Lending Solutionsâ€™ single system of record is the market leading cloud solution supporting both consumer and commercial lending that scales for the needs of lenders of all sizes. By eliminating the departmental silos that slow lenders down, financial organizations can now get to market quickly with secure digital products that delight todayâ€™s demanding borrowers. Cloud Lending Solutions clients improve profit margins and outperform their competitors by generating greater revenue, increasing operational efficiencies, and improving credit risk management. Be it banks, traditional finance companies, online lenders, or marketplace platforms, Cloud Lending Solutions is the trusted partner to deliver lending applications that drive innovation. Cloud Lending Solutions has its headquarters office San Mateo, California and has offices in London, UK and Bangalore, India.","San Mateo, California, United States",2012,Venture - Series Unknown,2018,31999995,18000000
